ID,Date,Category,Amount,Description,Vendor_ID,Vendor,Fund,Status,Notes
89,2025-01-06,Insurance,3225.27,Insurance expense 89,,,,In Review,
90,2024-05-28,Utilities,419.72,Utilities expense 90,22.0,Vendor 22,General Fund,Pending,Notes for expense 90
91,2024-04-10,Office Supplies,4539.71,Office Supplies expense 91,23.0,Tyrell Corporation,Capital Projects,Rejected,
92,2024-04-10,Office Supplies,985.0,Office Supplies expense 92,13.0,Umbrella Corp,Capital Projects,On Hold,Notes for expense 92
93,2024-08-04,IT Equipment,1067.04,IT Equipment expense 93,,,Special Revenue,On Hold,
94,2024-05-13,Utilities,4201.94,Utilities expense 94,,,Enterprise Fund,Approved,
95,2024-08-06,Travel,4826.24,Travel expense 95,28.0,InGen,Special Revenue,On Hold,
96,2025-03-08,Professional Services,486.55,Professional Services expense 96,23.0,Tyrell Corporation,Special Revenue,Approved,
97,2024-08-03,Travel,2493.5,Travel expense 97,25.0,Acme Corporation,Debt Service,Pending,
98,2024-11-14,Rent,567.71,Rent expense 98,4.0,Vendor 4,Special Revenue,Rejected,
99,2024-11-15,Rent,959.12,Rent expense 99,12.0,Stark Industries,Enterprise Fund,Rejected,
100,2024-07-06,IT Equipment,1898.23,IT Equipment expense 100,13.0,Umbrella Corp,,In Review,
101,2024-05-08,Advertising,4312.82,Advertising expense 101,1.0,Stark Enterprises,Special Revenue,On Hold,
102,2024-07-24,Insurance,2624.11,Insurance expense 102,20.0,Gekko & Co,Special Revenue,In Review,
103,2025-02-02,Office Supplies,3845.38,Office Supplies expense 103,25.0,Acme Corporation,Debt Service,Pending,Notes for expense 103
104,2024-09-18,Utilities,1656.84,Utilities expense 104,,,Debt Service,In Review,Notes for expense 104
105,2024-07-13,Maintenance,2263.75,Maintenance expense 105,16.0,Parker Industries,Debt Service,In Review,Notes for expense 105
106,2024-05-21,IT Equipment,372.41,IT Equipment expense 106,19.0,Wayne Enterprises,Capital Projects,Pending,Notes for expense 106
107,2024-07-02,Office Supplies,2931.08,Office Supplies expense 107,,,Enterprise Fund,Pending,
108,2024-07-13,Insurance,4847.53,Insurance expense 108,12.0,Stark Industries,General Fund,Rejected,
109,2024-03-28,Advertising,383.65,Advertising expense 109,22.0,Vendor 22,Debt Service,Approved,
110,2024-08-30,IT Equipment,382.38,IT Equipment expense 110,7.0,Virtual Dynamics,Capital Projects,On Hold,Notes for expense 110
111,2024-04-14,Insurance,4373.78,Insurance expense 111,24.0,Dunder Mifflin,Special Revenue,Pending,
112,2024-04-12,IT Equipment,4530.04,IT Equipment expense 112,,,Capital Projects,In Review,Notes for expense 112
113,2024-06-10,Utilities,594.65,Utilities expense 113,20.0,Gekko & Co,,Approved,
114,2025-03-04,IT Equipment,320.07,IT Equipment expense 114,3.0,Oscorp,Capital Projects,Pending,Notes for expense 114
115,2024-08-13,Utilities,3935.44,Utilities expense 115,,,General Fund,Rejected,Notes for expense 115
116,2024-11-17,Office Supplies,4246.84,Office Supplies expense 116,11.0,Initech,Debt Service,In Review,
117,2024-08-21,Insurance,2536.56,Insurance expense 117,29.0,Dunder Mifflin,Special Revenue,Pending,Notes for expense 117
118,2024-05-01,Insurance,2028.24,Insurance expense 118,23.0,Tyrell Corporation,Special Revenue,Rejected,
119,2024-03-24,IT Equipment,3800.9,IT Equipment expense 119,2.0,Aperture Science,General Fund,Pending,
120,2025-02-26,Travel,4583.11,Travel expense 120,30.0,Stark Industries,Enterprise Fund,In Review,
121,2024-04-20,Advertising,3668.8,Advertising expense 121,15.0,Stark Industries,Capital Projects,In Review,
122,2024-04-17,Utilities,2344.55,Utilities expense 122,,,,In Review,
123,2024-04-27,Maintenance,748.55,Maintenance expense 123,30.0,Stark Industries,Enterprise Fund,Rejected,Notes for expense 123
124,2024-06-02,Professional Services,4549.72,Professional Services expense 124,24.0,Dunder Mifflin,Capital Projects,Rejected,
125,2024-07-17,Rent,4335.16,Rent expense 125,2.0,Aperture Science,,Rejected,
126,2025-03-14,IT Equipment,329.79,IT Equipment expense 126,,,Capital Projects,Approved,
127,2025-01-31,Travel,2590.54,Travel expense 127,,,Debt Service,Pending,
128,2024-05-15,Rent,2632.34,Rent expense 128,21.0,Umbrella Corp,Capital Projects,Approved,Notes for expense 128
129,2024-04-26,Office Supplies,815.48,Office Supplies expense 129,,,Special Revenue,In Review,
130,2024-11-20,Advertising,571.46,Advertising expense 130,7.0,Virtual Dynamics,General Fund,Pending,
131,2025-03-21,Rent,222.27,Rent expense 131,29.0,Dunder Mifflin,Debt Service,In Review,
132,2024-12-26,Insurance,1230.53,Insurance expense 132,11.0,Initech,Capital Projects,In Review,
133,2024-06-09,Utilities,4826.36,Utilities expense 133,9.0,Nakatomi Trading Corp.,Capital Projects,In Review,Notes for expense 133
134,2025-03-16,Office Supplies,216.58,Office Supplies expense 134,,,,Rejected,Notes for expense 134
135,2025-01-10,Rent,568.8,Rent expense 135,,,General Fund,Pending,
136,2024-06-23,IT Equipment,1576.06,IT Equipment expense 136,11.0,Initech,General Fund,Rejected,Notes for expense 136
137,2024-07-27,Rent,4073.68,Rent expense 137,18.0,InGen,General Fund,Rejected,Notes for expense 137
138,2024-12-21,Office Supplies,4772.83,Office Supplies expense 138,27.0,Cyberdyne Systems,Debt Service,In Review,Notes for expense 138
139,2024-05-08,Utilities,4540.1,Utilities expense 139,18.0,InGen,Capital Projects,On Hold,
140,2025-01-16,Rent,873.83,Rent expense 140,1.0,Stark Enterprises,Special Revenue,Rejected,
141,2024-09-08,Rent,3704.27,Rent expense 141,28.0,InGen,General Fund,Pending,Notes for expense 141
142,2025-01-02,Office Supplies,3974.26,Office Supplies expense 142,5.0,Initech,General Fund,On Hold,
143,2024-09-06,Office Supplies,1785.3,Office Supplies expense 143,21.0,Umbrella Corp,Enterprise Fund,Rejected,Notes for expense 143
144,2025-01-20,Training,4097.43,Training expense 144,,,,In Review,Notes for expense 144
145,2025-01-07,IT Equipment,4856.92,IT Equipment expense 145,,,General Fund,Pending,
146,2024-06-10,Insurance,2588.54,Insurance expense 146,3.0,Oscorp,Enterprise Fund,Pending,
147,2025-01-16,Utilities,691.16,Utilities expense 147,17.0,Wonka Industries,General Fund,In Review,
148,2024-12-23,Maintenance,2511.08,Maintenance expense 148,26.0,Oceanic Airlines,Capital Projects,Pending,
149,2024-09-07,Rent,4751.91,Rent expense 149,3.0,Oscorp,Enterprise Fund,Pending,
150,2025-01-29,Rent,3674.8,Rent expense 150,27.0,Cyberdyne Systems,General Fund,Pending,Notes for expense 150
